"MotifID","Frm","Total_Coverage","Position"
343,96,25,232331
344,100,19,233685
345,95.4545454545455,22,234656
346,100,31,236676
347,100,33,237241
348,100,30,237423
349,94.5935135135135,37,238273
350,93.5483870967742,31,238990
351,98.0411764705882,51,239218
352,100,24,240081
353,100,26,242141
354,100,20,243204
355,90.3206451612903,31,243234
356,97.4338461538462,39,244011
357,100,17,245395
358,93.5461290322581,31,246883
359,100,24,246940
360,92.5933333333333,27,247477
361,97.14,35,247600
362,96.0016,25,247798
363,95.6521739130435,23,248321
364,95.3486046511628,43,248669
365,100,28,249472
366,92.8578571428571,28,250540
367,100,26,250699
368,100,46,251008
369,86.955652173913,23,251289
370,97.3694736842105,38,254074
371,94.8733333333333,39,254095
372,93.7525,32,255298
373,100,39,256007
374,100,17,256289
375,100,42,256490
376,100,41,256554
377,100,37,257073
378,97.49875,40,257903
379,90.9090909090909,33,258490
380,91.6683333333333,24,258564
381,94.4433333333333,36,258751
382,96.876875,32,258905
383,97.6166666666667,42,260384
384,91.3030434782609,46,262107
385,85.7154285714286,35,262123
386,86.4854054054054,37,262772
387,93.5464516129032,31,263595
388,94.4416666666667,36,264307
389,97.78,45,264844
390,96.7716129032258,31,265036
391,100,42,265175
392,100,40,265408
393,97.1428571428571,35,267965
394,97.144,35,268501
395,90.91,33,269061
396,97.2233333333333,36,269963
397,94.1152941176471,34,270094
398,88.8922222222222,18,270441
399,100,27,271610
400,91.67,24,271686
401,100,15,273147
402,100,10,274211
403,85.7157142857143,7,274737
404,100,9,275229
405,88.8855555555555,9,275332
406,80,5,275572
407,83.3333333333333,6,275634
408,57.1428571428571,7,276793
409,80.002,5,276828
410,100,12,277081
411,100,13,277092
412,100,13,277361
413,77.7788888888889,18,279422
414,61.5346153846154,13,279747
415,80.9542857142857,21,280458
416,100,28,280955
417,91.6666666666667,12,281570
418,100,26,282052
419,100,27,283300
420,85.003,20,284109
421,96.2966666666667,27,284153
422,93.748125,16,284647
423,61.1105555555556,18,285229
424,100,13,286535
425,100,9,287035
426,100,8,287333
427,100,16,287382
428,100,11,288039
429,58.3316666666667,12,288751
430,53.8453846153846,13,289204
431,100,10,290478
432,83.3333333333333,6,291499
433,100,7,291754
434,30,10,292323
435,22.2222222222222,9,292834
436,85.7142857142857,7,293587
437,88.8888888888889,18,294008
438,88.8888888888889,18,294081
439,79.998,15,294119
440,92.8578571428571,14,294326
441,91.665,12,294987
442,79.998,10,296264
443,100,3,296674
444,60,10,296763
445,95.2380952380952,21,298033
446,93.74875,16,299124
447,81.25125,16,301569
448,92.8578571428571,28,303095
449,90.9109090909091,22,303400
450,100,17,303705
451,79.998,20,306756
452,96.0012,25,307986
453,76.9223076923077,13,308321
454,95.002,20,308962
455,100,16,310231
456,100,22,310556
457,87.5,16,311512
458,94.1182352941177,17,311579
459,90.477619047619,21,312502
460,76.9223076923077,13,312862
461,100,21,312945
462,100,30,313199
463,96.6676666666667,30,314249
464,80.95,21,314417
465,100,33,314925
466,93.1006896551724,29,315248
467,96.9681818181818,33,315671
468,90.477619047619,21,315716
469,100,35,315783
470,79.9986666666667,15,316614
471,100,7,316809
472,100,8,317203
473,93.74875,16,318218
474,92.8585714285714,28,318804
475,100,18,319399
476,95.24,21,319959
477,87.0970967741936,31,320593
478,96.43,28,320758
479,92.3076923076923,13,321770
480,100,31,323896
481,96.9666666666667,33,325984
482,81.8181818181818,11,326391
483,100,24,326640
484,92.5955555555555,27,326736
485,93.75,16,327813
486,87.49875,16,328772
487,86.6626666666667,15,329088
488,89.1856756756757,37,329702
489,100,24,332092
490,92.3076923076923,26,332716
491,100,25,333390
492,76.4705882352941,17,334023
493,96.7716129032258,31,334318
494,100,32,334677
495,100,21,334892
496,91.6666666666667,24,334903
497,95.455,22,334982
498,100,25,335350
499,100,19,336022
500,92.8571428571429,14,336600
501,100,29,336777
502,100,29,336836
503,100,18,337825
504,100,22,337987
505,100,32,339218
506,100,35,339244
507,96.8753125,32,339675
508,96.2933333333333,27,339939
509,97.2972972972973,37,340039
510,100,42,340331
511,100,29,340766
512,96.7709677419355,31,341267
513,97.3692105263158,38,341604
514,97.501,40,343291
515,92.3061538461538,26,344061
516,89.998,10,345633
517,100,27,346972
518,96.0004,25,347877
519,92.8571428571429,14,348000
520,96.4267857142857,28,348860
521,100,33,349162
522,94.1176470588235,17,349239
523,100,22,349572
524,100,27,349825
525,100,26,350043
526,100,31,350259
527,95.2380952380952,21,350357
528,100,26,351004
529,100,15,351365
530,100,23,351383
531,94.4466666666667,18,351525
532,100,19,351542
533,96.87625,32,352677
534,100,23,353775
535,100,23,353903
536,100,23,353928
537,95.455,22,354049
538,100,23,354148
539,100,27,354966
540,93.3333333333333,15,357875
541,94.4427777777778,18,357888
542,100,13,358852
543,93.750625,16,359889
544,96.0004,25,360469
545,100,21,360574
546,96.7725806451613,31,360987
547,100,23,362305
548,96.6666666666667,30,362419
549,84.615,26,362793
550,91.3065217391304,23,363406
551,82.1442857142857,28,363682
552,77.4193548387097,31,364049
553,76.4688235294118,17,364079
554,89.658275862069,29,364088
555,95.6521739130435,23,364378
556,86.208275862069,29,364535
557,85.1866666666667,27,365592
558,78.1275,32,365654
559,89.2875,28,365665
560,93.5516129032258,31,365707
561,88.4615384615385,26,365718
562,95.24,21,366728
563,90.003,20,367488
564,100,40,368426
565,94.4427777777778,18,368556
566,96.4285714285714,28,369257
567,96.969696969697,33,369391
568,100,22,369455
569,100,16,371561
570,86.668,15,372518
571,91.304347826087,23,372899
572,89.2875,28,373014
573,100,25,374152
574,95.4531818181818,22,375722
575,92.3107692307692,26,377702
576,85.0025,20,379162
577,95.2390476190476,42,379832
578,100,27,380825
579,88.8911111111111,36,381395
580,100,29,381623
581,91.1764705882353,34,381885
582,92.8578571428571,28,382088
583,71.4275,28,383182
584,100,34,383882
585,96.668,30,384309
586,100,23,385085
587,94.1194117647059,17,385189
588,100,23,385524
589,96.4289285714286,28,386379
590,91.6675,24,386707
591,96.55,29,386953
592,96.2974074074074,27,387426
593,94.4444444444444,18,387760
594,96,25,388087
595,89.4736842105263,19,388174
596,100,26,388634
597,91.6683333333333,24,389198
598,84.6161538461538,13,389898
599,93.74875,16,389904
600,100,27,390183
601,96.4289285714286,28,391038
602,78.5735714285714,14,391433
603,95.455,22,392602
604,100,23,392788
605,100,26,393889
606,71.4307142857143,14,394672
607,100,13,395683
608,90.9072727272727,11,395951
609,90.9090909090909,11,397475
610,100,14,398712
611,54.5472727272727,11,398836
612,90.001,20,400531
613,100,14,401265
614,88.2352941176471,17,401387
615,90.9063636363636,22,401401
616,100,20,401680
617,100,14,402759
618,84.6161538461538,13,402970
619,100,4,403907
620,24.99875,8,404263
621,25,4,404357
622,55.5555555555556,9,404365
623,91.665,12,405941
624,100,14,406887
625,100,23,408810
626,100,15,409207
627,95,20,409712
628,100,27,411731
629,92.855,28,412355
630,96.5489655172414,29,412751
631,100,27,413656
632,95.8333333333333,24,414022
633,100,13,414041
634,100,27,414145
635,96.8753125,32,414322
636,96.8734375,32,417039
637,100,25,417189
638,96.8759375,32,417412
639,100,23,419010
640,100,32,419685
641,100,37,420846
642,93.750625,16,421074
643,100,32,422446
644,88,25,425638
645,100,25,426968
646,100,16,427843
647,95.835,24,428664
648,100,25,428875
649,100,15,429213
650,100,21,430280
651,86.3654545454545,22,431498
652,100,23,433557
653,93.7525,16,433590
654,100,24,433785
655,96.0004,25,434152
656,100,17,435826
657,86.9569565217391,23,436886
658,100,20,437781
659,100,33,438370
660,100,22,438844
661,100,27,439426
662,100,24,439468
663,95.455,22,439594
664,100,12,440503
665,87.5,24,441572
666,88.8855555555555,9,441895
667,95.6534782608695,23,441936
668,82.3529411764706,17,442007
669,95.6521739130435,23,442365
670,100,12,442907
671,100,25,442924
672,96.551724137931,29,443676
673,88.2317647058823,17,443785
674,94.445,18,444125
675,90.9118181818182,22,444303
676,80.9528571428571,21,444330
677,88,25,444678
678,100,25,445127
679,95.6521739130435,23,445398
680,89.4742105263158,19,445796
681,100,24,446499
682,100,23,446836
683,96.1542307692308,26,448981
684,100,29,449055
685,100,32,449071
686,94.4444444444444,18,449541
687,93.9418181818182,33,450700
688,92.3053846153846,13,450734
689,96.1538461538462,26,450763
690,95.6539130434783,23,451008
691,100,33,451509
692,96.969696969697,33,451534
693,100,28,451634
694,95.4545454545455,22,452086
695,96.668,30,452879
696,100,23,453240
697,100,32,453473
698,97.2194444444444,36,453879
699,96,25,453934
700,100,30,454576
701,100,42,454770
702,100,42,454824
703,100,33,454916
704,100,32,455569
705,96.4267857142857,28,456500
706,100,28,457227
707,93.334,30,458608
708,96.9672727272727,33,459239
709,100,31,459371
710,100,18,460302
711,92.3084615384615,13,461030
712,100,22,461205
713,100,17,461997
714,88,25,462507
715,95.998,25,462735
716,96.551724137931,29,463494
717,89.6572413793103,29,464043
718,100,22,464777
719,100,29,465026
720,96.5531034482759,29,465665
721,96.1542307692308,26,465689
722,100,32,466125
723,93.334,15,466884
724,94.4444444444444,18,466949
725,92.8557142857143,14,466974
726,81.82,22,467229
727,100,18,467382
728,72.7245454545454,11,467805
729,92.3076923076923,13,467922
730,100,19,468840
731,100,19,468992
732,100,15,469110
733,100,29,469262
734,100,20,469436
735,100,15,471217
736,100,17,471661
737,100,10,472108
738,100,14,472145
739,100,10,472241
740,95.4545454545455,22,472853
741,100,31,473282
742,100,21,473721
743,100,14,473730
744,100,11,473846
745,100,18,473948
746,100,19,474528
747,100,20,475263
748,100,15,476277
749,100,6,476424
750,100,16,476458
751,100,12,478188
752,88.2358823529412,17,478268
753,100,17,478795
754,100,21,479009
755,100,19,479746
756,100,15,481192
757,100,20,481444
758,96.6666666666667,30,482315
759,100,18,482547
760,94.7373684210526,19,484498
761,100,30,484594
762,100,15,484810
763,100,14,486608
764,100,15,486641
765,100,21,487133
766,94.1182352941177,17,487205
767,92.3076923076923,13,488493
768,93.750625,16,490337
769,90.001,10,490984
770,77.7766666666667,9,491577
771,100,14,491710
772,100,13,491724
773,95.2385714285714,21,493886
774,100,21,494347
775,100,28,496108
776,100,29,498226
777,93.334,15,499223
778,91.304347826087,23,499290
779,100,19,499744
780,100,16,501201
781,95.2385714285714,21,501350
782,100,25,502689
783,100,16,506732
784,100,18,506748
785,93.75,16,507493
786,92.3076923076923,13,509059
787,76.9215384615385,13,510578
788,100,23,512101
789,94.999,20,512227
790,100,18,513187
791,100,15,513199
792,100,16,513225
793,100,13,514318
794,92.3084615384615,13,515478
795,100,22,516145
796,100,18,516296
797,100,10,517183
798,100,12,517265
799,100,13,517299
800,94.1176470588235,17,517560
801,92.3084615384615,13,517596
802,93.748125,16,517859
803,64.2864285714286,14,518689
804,40,10,518979
805,0,10,519613
806,80,10,519768
807,50,6,519846
808,100,6,519907
809,100,9,520362
810,100,3,520627
811,75.0025,4,520918
812,100,3,521054
813,100,2,521112
814,100,2,521128
815,60,5,521345
816,90.9063636363636,11,522057
817,80.002,10,522111
818,80,5,522735
819,100,10,522888
820,75,8,523034
821,100,11,523612
822,100,9,524849
823,100,12,525811
824,100,4,527098
825,87.5,8,527504
826,91.6666666666667,12,529684
827,81.8181818181818,11,531578
828,93.748125,16,532636
829,77.7777777777778,9,533185
830,39.998,5,534656
831,93.3333333333333,15,535373
832,63.6363636363636,11,535755
833,90.9072727272727,11,535930
834,75,4,536792
835,66.6677777777778,9,537790
836,89.998,10,538740
837,94.4427777777778,18,542232
838,84.211052631579,19,542558
839,90.9090909090909,33,542808
840,82.6104347826087,23,542963
841,87.49625,8,543461
842,95.24,21,545349
843,100,16,545596
844,79.998,25,545629
845,89.6579310344828,29,546382
846,90.001,20,546574
847,93.5496774193548,31,546946
848,90.91,22,547137
849,100,29,547369
850,100,25,547938
851,90.91,33,549243
852,91.3017391304348,23,550704
853,100,31,551987
854,90.9109090909091,22,553341
855,100,18,554241
856,100,20,554555
857,76.4729411764706,17,556470
858,75,20,556564
859,100,16,557305
860,90,10,557327
861,100,15,557565
862,100,15,559644
863,93.75,16,559649
864,87.49875,16,560548
865,94.4461111111111,18,562481
866,100,19,563876
867,84.6161538461538,13,564508
868,96.2933333333333,27,564606
869,100,28,565671
870,92.5955555555555,27,565728
871,100,19,566007
872,100,26,566372
873,97.0558823529412,34,566530
874,96.4285714285714,28,566669
875,94.1176470588235,17,567027
876,86.9573913043478,23,567277
877,94.7357894736842,19,567664
878,71.4292857142857,14,569475
879,100,7,570197
880,90.9063636363636,11,570531
881,80.002,15,571018
882,71.4285714285714,7,574029
883,100,15,575760
884,100,22,575913
885,96,25,576648
886,19.9988,25,577609
887,83.3333333333333,6,579003
888,100,9,579662
889,69.2307692307692,13,580553
890,100,15,580779
891,100,6,581983
892,87.4975,8,582079
893,18.750625,16,583166
894,100,10,583363
895,87.5,8,584174
896,85.7142857142857,7,584863
897,86.6666666666667,15,585221
898,83.3308333333333,12,586309
899,87.5,8,587575
900,100,11,587861
901,88.8855555555555,9,587883
902,71.4285714285714,7,588136
903,100,9,588355
904,91.6641666666666,12,589341
905,93.75,16,589394
906,100,31,591138
907,100,20,591303
908,96.97,33,591808
909,100,20,592164
910,100,28,592593
911,100,23,592701
912,100,27,593017
913,100,18,594275
914,100,19,594572
915,100,26,594729
916,94.7373684210526,19,594963
917,85.7142857142857,21,595771
918,100,18,597505
919,84.6153846153846,13,597927
920,80.002,10,598162
921,86.6666666666667,15,598198
922,100,18,599018
923,95.6521739130435,23,6e+05
924,96.665,30,600037
925,96.668,30,601009
926,94.1176470588235,17,603515
927,100,30,604257
928,100,25,604526
929,100,15,604974
930,93.334,15,604985
931,100,27,605172
932,91.3021739130435,23,605438
933,100,36,606008
934,100,34,606746
935,100,22,606922
936,100,23,607299
937,100,30,607325
938,96.4267857142857,28,607862
939,95.4559090909091,22,608506
940,100,27,608537
941,100,20,608561
942,100,21,609593
943,100,20,609882
944,95.4563636363636,22,609974
945,100,26,611462
946,100,30,611664
947,100,22,611704
948,100,27,612206
949,100,28,612990
950,94.1182352941177,17,613166
951,91.6675,12,613336
952,100,18,613713
953,74.9975,12,614502
954,100,16,615845
955,100,13,616094
956,100,19,616187
957,100,18,616429
958,88.89,18,621159
959,100,14,621969
960,94.7368421052632,19,622779
961,95.002,20,622900
962,100,20,623813
963,78.9442105263158,19,624413
964,83.335,12,625050
965,88.8888888888889,9,625492
966,85.715,14,625560
967,100,10,626301
968,82.3535294117647,17,626413
969,88.8894444444445,18,626956
970,100,16,627436
971,91.6641666666666,12,627810
972,75,12,629592
973,81.8181818181818,11,629687
974,94.445,18,630554
975,80.002,5,631740
976,100,10,631878
977,100,10,634252
978,90,10,635335
979,100,9,635351
980,88.8888888888889,9,635709
981,100,7,635924
982,100,10,637558
983,100,6,638349
984,100,7,638488
985,100,5,639085
986,100,4,639954
987,100,3,640407
988,100,1,640899
989,100,2,641558
991,100,1,642737
992,100,1,642868
993,100,1,643269
994,100,2,643545
995,100,2,643666
996,100,4,644210
997,100,1,644369
998,100,1,644836
999,66.6666666666667,3,645614
1000,50,2,645810
1001,100,3,646298
1002,100,3,646502
1003,83.3333333333333,6,648942
1004,60.002,5,649169
1005,100,10,649303
1006,100,11,649943
1007,100,6,650109
1008,100,7,650217
1009,100,7,650474
1010,100,9,650919
1011,100,9,651179
1012,100,13,652087
1013,100,12,652126
1014,87.4975,8,653622
1015,100,10,654110
1016,100,8,654443
1017,100,10,654541
1018,85.7157142857143,7,654822
1019,100,10,656062
1020,100,11,656332
1021,100,22,656831
1022,100,13,656950
1023,100,12,657255
1024,100,13,657304
1025,100,19,657378
1026,100,15,658087
1027,100,26,658212
1028,100,14,658259
1029,100,24,659310
1030,100,18,659972
1031,95.6526086956522,23,660219
1032,95.0005,20,660387
1033,91.6675,12,661158
1034,100,7,661243
1035,100,17,661257
1036,100,7,662345
1037,100,11,662358
1038,100,18,662526
1039,100,10,662626
1040,100,22,665066
1041,90.9063636363636,11,665631
1042,100,21,665665
1043,90.9118181818182,22,665734
1044,100,22,665941
1045,100,29,666068
1046,100,15,667512
1047,93.75,16,667876
1048,95.455,22,668747
1049,100,17,669966
1050,100,13,670018
1051,96,25,670592
1052,94.7373684210526,19,671630
1053,95.24,21,671937
1054,92.8571428571429,14,672053
1055,100,25,672404
1056,96.4307142857143,28,672684
1057,95.2380952380952,21,674431
1058,100,21,674507
1059,100,27,674568
1060,100,34,675204
1061,100,12,675525
1062,100,20,676457
1063,100,23,676527
1064,100,21,677273
1065,95.4545454545455,22,677366
1066,100,17,677425
1067,82.3529411764706,17,678902
1068,90.001,20,679319
1069,100,27,679593
1070,100,21,679723
1071,100,27,680429
1072,100,31,680465
1073,100,22,680715
1074,100,30,681466
1075,95.002,20,681666
1076,100,28,681820
1077,100,34,682683
1078,100,28,683902
1079,100,25,683986
1080,100,18,684459
1081,100,20,686446
1082,85.7133333333333,21,686934
1083,100,15,687181
1084,83.3333333333333,18,687284
1085,88.8888888888889,27,687307
1086,94.7373684210526,19,687535
1087,80,10,687548
1088,100,9,687553
1089,100,12,687754
1090,94.7368421052632,19,691813
1091,88.8888888888889,18,692029
1092,100,27,692053
1093,80,20,692113
1094,100,17,692205
1095,100,34,693939
1096,83.3322222222222,18,694173
1097,95.4522727272727,22,694252
1098,88,25,695142
1099,97.5585365853659,41,695403
1100,100,22,695918
1101,100,38,695946
1102,100,34,695968
1103,96.9681818181818,33,696108
1104,96.6666666666667,30,697603
1105,100,19,697777
1106,100,27,697931
1107,93.332,15,698204
1108,100,16,698790
1109,100,32,698980
1110,100,39,699590
1111,100,28,700116
1112,90.477619047619,21,700599
1113,89.998,10,701485
1114,96.2944444444444,27,701734
1115,100,18,701947
1116,100,17,703197
1117,100,16,703358
1118,100,12,703372
1119,95.6539130434783,23,704617
1120,100,16,706933
1121,100,21,708916
1122,100,26,709403
1123,100,16,709647
1124,100,27,711240
1125,97.0597058823529,34,712065
1126,100,23,714203
1127,81.82,22,714401
1128,100,24,714800
1129,100,23,715057
1130,88.8905555555556,18,715273
1131,76.4723529411765,17,716290
1132,92.3069230769231,26,716872
1133,100,21,717520
1134,100,24,718673
1135,92.3061538461538,26,719168
1136,95.8325,24,719730
1137,100,12,720346
1138,84.6115384615384,13,721174
1139,100,16,721823
1140,100,18,723531
1141,88.8905555555556,18,725117
1142,100,17,725284
1143,85.7128571428571,14,725710
1144,93.1044827586207,29,726037
1145,100,15,727083
1146,93.75,16,727432
1147,73.3346666666667,15,727609
1148,100,10,728430
1149,93.748125,16,729547
1150,84.6161538461538,13,729708
1151,100,11,729783
1152,94.7389473684211,19,729993
1153,89.4747368421053,19,730472
1154,75.001875,16,730895
1155,100,16,731980
1156,100,25,733318
1157,100,20,734520
1158,100,19,734548
1159,100,5,734905
1160,100,18,735577
1161,100,19,736406
1162,100,27,737094
1163,100,11,738365
1164,100,15,738713
1165,100,12,739649
1166,90,20,739826
1167,95,20,740067
1168,95.835,24,740153
1169,100,16,740810
1170,100,12,741056
1171,93.3333333333333,15,741410
1172,100,20,741537
1173,100,23,742242
1174,94.7368421052632,19,742611
1175,93.3333333333333,15,743267
1176,100,17,744516
1177,100,21,744537
1178,100,15,744558
1179,96.2962962962963,27,744765
1180,88.8888888888889,18,745194
1181,90.002,20,745336
1182,96.668,30,746203
1183,85,20,746317
1184,94.1182352941177,17,746866
1185,90.0005,20,746945
1186,94.7389473684211,19,748150
1187,96.5531034482759,29,748210
1188,100,25,748286
1189,95.6539130434783,23,750069
