"MotifID","Position","Strand","Frm","Coverage","n_samples"
64,193601,"+",96.5541379310345,58,2
65,193868,"+",100,71,2
66,194755,"+",100,70,2
67,200517,"+",96.3832530120482,83,2
68,202882,"+",94.7921875,96,2
69,204959,"+",98.980612244898,98,2
70,205855,"+",98.2920512820513,117,2
71,206077,"+",99.2059523809524,126,2
72,206182,"+",93.3330666666667,75,2
73,206524,"+",100,80,2
74,207971,"+",94.1154411764706,68,2
75,210091,"+",91.8935135135135,74,2
76,213133,"+",100,104,2
77,216924,"+",96.3382926829268,82,2
78,217565,"+",98.946947368421,95,2
79,219783,"+",100,106,2
80,220520,"+",99.0453333333333,105,2
81,221090,"+",89.2828571428571,56,2
82,222487,"+",97.752808988764,89,2
83,225572,"+",100,104,2
84,226191,"+",99.0890909090909,110,2
85,227667,"+",89.065,64,2
86,228702,"+",95.3813846153846,65,2
87,233603,"+",100,108,2
88,236438,"+",99.09,110,2
89,236736,"+",100,87,2
90,237145,"+",98.998,100,2
91,237406,"+",97.1923364485981,107,2
92,237568,"+",97.6458823529412,85,2
93,238143,"+",96.5531034482759,87,2
94,243012,"+",100,135,2
95,244058,"+",99.0842201834862,109,2
96,245049,"+",99.138275862069,116,2
97,245478,"+",98.5323529411765,136,2
98,247229,"+",100,111,2
99,250846,"+",100,130,2
100,251299,"+",87.5040625,64,2
101,251929,"+",100,117,2
102,255945,"+",100,115,2
103,259085,"+",100,107,2
104,259659,"+",100,121,2
105,260406,"+",95.9424324324324,74,2
106,261892,"+",96.2598130841121,107,2
107,265440,"+",98.0382352941176,102,2
108,266932,"+",100,89,2
109,269567,"+",98.9372340425532,94,2
110,270597,"+",98.3333333333333,60,2
111,275050,"+",97.7766666666667,45,2
112,276972,"+",100,50,2
113,277963,"+",96.4894736842105,57,2
114,279314,"+",98.6283561643836,73,2
115,279964,"+",98.8775280898876,89,2
116,286971,"+",100,68,2
117,288086,"+",68.748125,80,2
118,290203,"+",100,63,2
119,297432,"+",99.0088118811881,101,2
120,303679,"+",100,105,2
121,308585,"+",98.1327102803738,107,2
122,308801,"+",96.7716129032258,62,2
123,309244,"+",97.0331683168317,101,2
124,312006,"+",100,109,2
125,312619,"+",94.5940540540541,74,2
126,315244,"+",98.8888888888889,90,2
127,318572,"+",100,70,2
128,322652,"+",100,124,2
129,322863,"+",87.5011111111111,72,2
130,324447,"+",98.9264516129032,93,2
131,325404,"+",95.9652419354839,124,2
132,328215,"+",99.0718518518518,108,2
133,329353,"+",99.1873170731707,123,2
134,330504,"+",96.9233846153846,65,2
135,332046,"+",100,127,2
136,332077,"+",97.4576271186441,118,2
137,333573,"+",100,102,2
138,336266,"+",100,88,2
139,339557,"+",98.6105555555555,72,2
140,340654,"+",100,86,2
141,341066,"+",88.89,63,2
142,343864,"+",97.1428571428571,70,2
143,344355,"+",98.7354430379747,79,2
144,347542,"+",97.8503225806452,93,2
145,351814,"+",95.0526732673267,101,2
146,351862,"+",97.6464705882353,85,2
147,352821,"+",100,122,2
148,355872,"+",95.7418085106383,94,2
149,358290,"+",94,50,2
150,358671,"+",97.3684210526316,76,2
151,358691,"+",98.752,80,2
152,359916,"+",100,87,2
153,361113,"+",96.4705882352941,85,2
154,361164,"+",94.1874418604651,86,2
155,365954,"+",98.6315068493151,73,2
156,367155,"+",100,101,2
157,368871,"+",100,91,2
158,372373,"+",98.668,75,2
159,374043,"+",99.0123762376238,101,2
160,376544,"+",100,97,2
161,378794,"+",96.5936363636364,88,2
162,382830,"+",98.6672,75,2
163,389153,"+",87.1425714285714,70,2
164,389879,"+",98.8640909090909,88,2
165,389921,"+",96.5528735632184,87,2
166,398015,"+",100,77,2
167,404497,"+",100,55,2
168,404734,"+",100,70,2
169,408284,"+",98.75075,80,2
170,408581,"+",98.7938554216867,83,2
171,416744,"+",100,93,2
172,417290,"+",98.8207058823529,85,2
173,417788,"+",98.9002197802198,91,2
174,421368,"+",100,79,2
175,423197,"+",98.5492753623188,69,2
176,427611,"+",100,103,2
177,427828,"+",100,81,2
178,427978,"+",97.1052173913044,69,2
179,431410,"+",94.6240860215054,93,2
180,434847,"+",100,80,2
181,436459,"+",94.8077922077922,77,2
182,436620,"+",100,92,2
183,438768,"+",96.9727272727273,66,2
184,439050,"+",95.5882352941177,68,2
185,440743,"+",98.5492753623188,69,2
186,440850,"+",93.4427868852459,61,2
187,441312,"+",94.8733333333333,78,2
188,441465,"+",100,83,2
189,442396,"+",98.7981927710843,83,2
190,443862,"+",97.7755555555556,90,2
191,444218,"+",91.9345161290323,62,2
192,449387,"+",98.5702857142857,70,2
193,452978,"+",98.4842424242424,66,2
194,453637,"+",100,63,2
195,454112,"+",100,86,2
196,457493,"+",98.6666666666667,75,2
197,461260,"+",100,77,2
198,462636,"+",97.9612244897959,49,2
199,464606,"+",90.001,60,2
200,464623,"+",90.9074025974026,77,2
201,466494,"+",97.4693670886076,79,2
202,469742,"+",98.9365957446809,94,2
203,469889,"+",98.9134782608696,92,2
204,474129,"+",100,93,2
205,474451,"+",98.8372093023256,86,2
206,478376,"+",94.5235616438356,73,2
207,479418,"+",96.876875,96,2
208,481879,"+",98.7676543209877,81,2
209,482068,"+",96.7361956521739,92,2
210,484806,"+",100,94,2
211,487166,"+",100,91,2
212,489425,"+",98.6652,75,2
213,491469,"+",79.7294594594594,74,2
214,491687,"+",99.0394230769231,104,2
215,493934,"+",98.8623863636364,88,2
216,503448,"+",77.999,50,2
217,503540,"+",93.75,80,2
218,503724,"+",99.0122772277228,101,2
219,504065,"+",96.969595959596,99,2
220,523921,"+",88.8888888888889,45,2
221,530763,"+",100,85,2
222,534097,"+",84.3775,64,2
223,538151,"+",96.87578125,64,2
224,538994,"+",81.3951162790698,43,2
225,549597,"+",96.3856626506024,83,2
226,551264,"+",97.980303030303,99,2
227,558380,"+",99.1610084033614,119,2
228,559328,"+",97.3438053097345,113,2
229,562501,"+",100,118,2
230,562877,"+",95.8883561643836,73,2
231,565720,"+",99.0836697247706,109,2
232,570256,"+",99.1611764705882,119,2
233,571533,"+",97.3483185840708,113,2
234,571671,"+",100,113,2
235,573332,"+",96.3643636363636,110,2
236,574409,"+",92.959014084507,71,2
237,576740,"+",100,107,2
238,579861,"+",100,57,2
239,581736,"+",97.1442857142857,70,2
240,586349,"+",92.3076923076923,78,2
241,597013,"+",100,119,2
242,597049,"+",98.1677064220183,109,2
243,599416,"+",96.3421951219512,82,2
244,599728,"+",100,96,2
245,599767,"+",98.43625,64,2
246,600286,"+",97.2991891891892,111,2
247,600355,"+",98.8893333333333,90,2
248,600768,"+",100,87,2
249,602102,"+",98.1327102803738,107,2
250,604872,"+",98.9694845360825,97,2
251,610744,"+",99.14,116,2
252,612163,"+",100,104,2
253,615085,"+",92.5376119402985,67,2
254,619791,"+",98.61125,72,2
255,620123,"+",93.336,75,2
256,620815,"+",90.1418309859155,71,2
257,621899,"+",97.7003448275862,87,2
258,622844,"+",81.0164556962025,79,2
259,626968,"+",100,76,2
260,630607,"+",100,76,2
261,632432,"+",93.9988,50,2
262,632804,"+",83.6327272727273,55,2
263,633453,"+",100,69,2
264,635231,"+",100,73,2
265,644010,"+",100,36,2
266,645921,"+",95.1187804878049,41,2
267,647510,"+",100,38,2
268,649353,"+",100,51,2
269,649632,"+",100,35,2
270,653894,"+",100,42,2
271,658561,"+",95.772676056338,71,2
272,658972,"+",100,95,2
273,659485,"+",94.8025974025974,77,2
274,660626,"+",97.144,70,2
275,660815,"+",96.9204615384615,65,2
276,661401,"+",100,78,2
277,663375,"+",98.7971084337349,83,2
278,663543,"+",97.4701265822785,79,2
279,665230,"+",98.7973493975904,83,2
280,665317,"+",94.8738461538461,78,2
281,665872,"+",100,68,2
282,667212,"+",98.6672,75,2
283,668499,"+",100,82,2
284,669161,"+",98.851724137931,87,2
285,670609,"+",100,93,2
286,670720,"+",85.712,70,2
287,671077,"+",78.332,60,2
288,674520,"+",100,109,2
289,676983,"+",97.7278409090909,88,2
290,677580,"+",97.2968918918919,74,2
291,680200,"+",98.6481081081081,74,2
292,681166,"+",100,109,2
293,682696,"+",97.8968421052632,95,2
294,683347,"+",98.915652173913,92,2
295,686600,"+",100,103,2
296,690875,"+",100,112,2
297,692383,"+",90.3264516129032,62,2
298,693128,"+",97.1816901408451,71,2
299,694166,"+",100,58,2
300,695760,"+",93.8311111111111,81,2
301,698008,"+",100,90,2
302,699927,"+",89.58125,48,2
303,700036,"+",97.9159375,96,2
304,700971,"+",94.9339240506329,79,2
305,701874,"+",100,93,2
306,702761,"+",98.8640909090909,88,2
307,702914,"+",83.53,85,2
308,703334,"+",100,100,2
309,705198,"+",100,106,2
310,705474,"+",97.7505617977528,89,2
311,705590,"+",98.1307476635514,107,2
312,710318,"+",99.0025,100,2
313,710966,"+",100,95,2
314,711290,"+",97.8952631578947,95,2
315,717246,"+",97.0164179104478,67,2
316,718975,"+",100,82,2
317,720546,"+",100,92,2
318,724166,"+",100,103,2
319,725343,"+",86.7924528301887,53,2
320,726212,"+",98.9608333333333,96,2
321,727674,"+",95.9992,75,2
322,732945,"+",100,80,2
323,733068,"+",98.8390697674419,86,2
324,735668,"+",74.1938709677419,62,2
325,737697,"+",100,84,2
326,738610,"+",96.8073404255319,94,2
327,739519,"+",98.9119565217391,92,2
328,744180,"+",98.7184615384615,78,2
329,748262,"+",100,101,2
330,748796,"+",98.0372549019608,51,2
331,751507,"+",100,89,2
332,756116,"+",100,82,2
333,756534,"+",98.5295588235294,68,2
334,756548,"+",98.9924242424242,99,2
335,761396,"+",93.4782608695652,46,2
336,761989,"+",95.8325,72,2
337,762091,"+",98.0759615384616,104,2
338,763513,"+",100,115,2
339,763537,"+",98.7341772151899,79,2
340,764493,"+",96.1036363636364,77,2
341,766242,"+",97.8023076923077,91,2
342,772386,"+",100,103,2
343,774709,"+",100,119,2
344,776558,"+",100,129,2
345,777140,"+",99.0302912621359,103,2
346,778016,"+",98.8510344827586,87,2
347,779583,"+",94.206231884058,69,2
348,780468,"+",98.748625,80,2
349,786740,"+",99.0302912621359,103,2
350,787157,"+",75.808064516129,62,2
351,787319,"+",87.5025,64,2
352,787519,"+",93.0545833333333,72,2
353,788036,"+",98.888,90,2
354,796422,"+",100,58,2
355,797614,"+",100,73,2
356,797629,"+",100,80,2
357,799950,"+",97.0575,68,2
358,805446,"+",100,96,2
359,805996,"+",98.5308823529412,68,2
360,807428,"+",97.2198611111111,72,2
361,809156,"+",94.0022,50,2
362,809862,"+",83.8716129032258,31,2
363,816820,"+",95.12,82,2
364,819091,"+",90.624375,64,2
365,820225,"+",98.7676543209877,81,2
366,828967,"+",99.0912727272727,110,2
367,831410,"+",98.0391176470588,102,2
368,831712,"+",100,96,2
369,832557,"+",98.9378723404255,94,2
370,835126,"+",99.0737037037037,108,2
371,835665,"+",100,107,2
372,839300,"+",97.4369230769231,78,2
373,846117,"+",94.1158823529412,68,2
374,846486,"+",98.5897183098592,71,2
375,847485,"+",93.4236842105263,76,2
376,853560,"+",98.111320754717,106,2
377,855442,"+",92.0028,75,2
378,863938,"+",100,93,2
379,867133,"+",97.96,49,2
380,869849,"+",100,81,2
381,871004,"+",87.4972916666667,48,2
382,871426,"+",100,40,2
383,873236,"+",98.2133928571428,56,2
384,876158,"+",100,51,2
385,876392,"+",100,51,2
386,880355,"+",97.776,45,2
387,882266,"+",95.3474418604651,43,2
388,884633,"+",90.4761904761905,42,2
389,886147,"+",100,64,2
390,886507,"+",100,67,2
391,888216,"+",100,60,2
392,889314,"+",98.0771153846154,52,2
393,892095,"+",100,68,2
394,892466,"+",100,54,2
395,895860,"+",97.8260869565217,46,2
396,897502,"+",100,72,2
397,897895,"+",98.18,55,2
398,900088,"+",100,83,2
399,901731,"+",98.8647727272727,88,2
400,903590,"+",98.9365957446809,94,2
401,904203,"+",93.8467692307692,65,2
402,905235,"+",74.1420689655172,58,2
403,905439,"+",97.648,85,2
404,907613,"+",93.2405405405405,74,2
405,907867,"+",98.9690721649485,97,2
406,908633,"+",98.8359302325581,86,2
407,908842,"+",100,87,2
408,915939,"+",94.5956756756757,74,2
409,916010,"+",96.7216393442623,61,2
410,920125,"+",100,88,2
411,922855,"+",91.66375,48,2
412,924550,"+",96.9686363636364,66,2
413,928221,"+",96.9206153846154,65,2
414,929853,"+",97.4024675324675,77,2
415,930387,"+",92.4547169811321,53,2
416,931293,"+",100,81,2
417,932283,"+",98.8390697674419,86,2
418,942454,"+",100,92,2
419,942759,"+",98.7028571428571,77,2
420,943890,"+",97.435,78,2
421,948655,"+",100,94,2
422,950177,"+",96.3623636363636,55,2
423,950341,"+",92.0633333333333,63,2
424,951038,"+",100,100,2
425,954064,"+",98.9814285714286,98,2
426,956383,"+",100,108,2
427,956494,"+",100,104,2
428,960278,"+",100,118,2
429,964817,"+",100,99,2
430,965594,"+",100,113,2
431,967355,"+",96.0016,100,2
432,967652,"+",98.9583333333333,96,2
433,973454,"+",100,104,2
434,973559,"+",100,108,2
435,976800,"+",98.6865789473684,76,2
436,980084,"+",96.6145762711865,59,2
437,981777,"+",98.4854545454545,66,2
438,982852,"+",98.5275,68,2
439,992491,"+",100,89,2
440,995370,"+",93.74734375,64,2
441,1001229,"+",93.9757831325301,83,2
442,1004060,"+",98.8526436781609,87,2
443,1005152,"+",96.9216923076923,65,2
444,1012115,"+",99.0589622641509,106,2
445,1017049,"+",97.979797979798,99,2
446,1017706,"+",99.0581132075472,106,2
447,1020094,"+",97.1177884615385,104,2
448,1020419,"+",99.1680833333333,120,2
449,1023255,"+",100,116,2
450,1024282,"+",97.593734939759,83,2
451,1025140,"+",96.94,98,2
452,1027039,"+",100,112,2
453,1027815,"+",100,99,2
454,1028571,"+",85.71,63,2
455,1031213,"+",100,61,2
456,1033246,"+",98.8256470588235,85,2
457,1033255,"+",92.4721505376344,93,2
458,1034545,"+",100,103,2
459,1037492,"+",100,112,2
460,1037525,"+",100,109,2
461,1038233,"+",95.351511627907,86,2
462,1038995,"+",98.5294117647059,68,2
463,1039822,"+",100,80,2
464,1042211,"+",97.7011494252874,87,2
465,1043991,"+",100,106,2
466,1045012,"+",95.061975308642,81,2
467,1050376,"+",100,96,2
468,1052593,"+",100,83,2
469,1058464,"+",100,92,2
470,1062624,"+",98.590985915493,71,2
471,1063102,"+",100,103,2
472,1064410,"+",97.6482352941177,85,2
473,1066679,"+",96.2962962962963,81,2
474,1067336,"+",96.1511538461538,78,2
475,1069098,"+",100,77,2
476,1069182,"+",100,79,2
477,1071401,"+",100,85,2
478,1072850,"+",93.224406779661,59,2
479,1078085,"+",100,60,2
480,1078480,"+",100,85,2
481,1089981,"+",92.8571428571429,42,2
482,1091892,"+",94.4447222222222,36,2
483,1092791,"+",90.2475609756098,41,2
484,1103358,"+",98.5098507462687,67,2
485,1103589,"+",100,83,2
486,1106248,"+",98.3593442622951,61,2
487,1106484,"+",100,60,2
488,1107105,"+",96.87734375,64,2
489,1107174,"+",100,69,2
490,1108014,"+",100,75,2
491,1112322,"+",97.5015,40,2
492,1114233,"+",95.1234146341463,41,2
493,1116923,"+",95.6521739130435,46,2
494,1121109,"+",98.6309589041096,73,2
495,1121235,"+",90.0008,50,2
496,1125164,"+",100,64,2
497,1125188,"+",100,59,2
498,1126131,"+",100,63,2
499,1129133,"+",89.7039705882353,68,2
500,1130854,"+",100,76,2
501,1131037,"+",93.4439344262295,61,2
502,1131487,"+",100,72,2
503,1132123,"+",100,72,2
504,1133409,"+",93.4429508196721,61,2
505,1133796,"+",100,68,2
506,1137155,"+",87.9337931034483,58,2
507,1139208,"+",95.8355555555556,72,2
508,1140649,"+",100,84,2
509,1142371,"+",89.5541791044776,67,2
510,1142789,"+",100,85,2
511,1144151,"+",98.6287671232877,73,2
512,1144685,"+",90.6988372093023,86,2
513,1145561,"+",97.7550561797753,89,2
514,1146633,"+",96.5116279069767,86,2
515,1150149,"+",98.6315068493151,73,2
516,1151211,"+",98.8082142857143,84,2
517,1152961,"+",100,77,2
518,1154851,"+",100,84,2
519,1155083,"+",100,71,2
520,1156488,"+",98.5098507462687,67,2
521,1156528,"+",98.6836842105263,76,2
522,1159744,"+",100,91,2
523,1161371,"+",100,95,2
524,1161401,"+",100,91,2
525,1161797,"+",91.892972972973,74,2
526,1162610,"+",95.2908235294118,85,2
527,1163198,"+",100,95,2
528,1164764,"+",97.62,84,2
529,1165469,"+",96.4266666666667,84,2
530,1166858,"+",96.878125,64,2
531,1168294,"+",100,89,2
532,1168360,"+",97.498875,80,2
533,1168975,"+",99.0722222222222,108,2
534,1170429,"+",100,106,2
535,1171751,"+",100,115,2
536,1171769,"+",100,106,2
537,1172471,"+",99.0589622641509,106,2
538,1173425,"+",98.8876666666667,90,2
539,1173620,"+",100,84,2
540,1173632,"+",97.9591836734694,98,2
541,1176583,"+",98.733670886076,79,2
542,1179834,"+",94.595945945946,37,2
543,1182775,"+",95.83,48,2
544,1185589,"+",98.3622950819672,61,2
545,1187557,"+",98.6471621621622,74,2
546,1188220,"+",100,73,2
547,1190234,"+",100,64,2
548,1201070,"+",97.1435714285714,70,2
549,1203855,"+",100,108,2
550,1209911,"+",98.9147826086956,92,2
551,1213428,"+",98.2300884955752,113,2
552,1220061,"+",90.2436585365854,82,2
553,1220815,"+",100,92,2
554,1220908,"+",95.3702777777778,108,2
555,1222556,"+",94.1758252427184,103,2
556,1223532,"+",91.8601162790698,86,2
557,1224141,"+",99.0669158878505,107,2
558,1224354,"+",100,116,2
559,1227423,"+",80.4126804123711,97,2
560,1231124,"+",93.0778461538462,130,2
561,1236361,"+",100,101,2
562,1236475,"+",100,110,2
563,1237230,"+",100,118,2
564,1240912,"+",98.5394890510949,137,2
565,1246675,"+",94.6428571428571,112,2
566,1247629,"+",99.3693670886076,158,2
567,1248319,"+",99.3349333333333,150,2
568,1250049,"+",92.475376344086,93,2
569,1251197,"+",98.4229921259843,127,2
570,1251875,"+",98.2124107142857,112,2
571,1253102,"+",98.1293457943925,107,2
572,1254399,"+",92.1302247191011,89,2
573,1255922,"+",98.7014285714286,77,2
574,1256206,"+",96.7180327868852,122,2
575,1256332,"+",99.2555970149254,134,2
576,1256638,"+",100,125,2
577,1256701,"+",100,135,2
578,1258037,"+",95.1440776699029,103,2
579,1260165,"+",92.8585714285714,84,2
580,1261107,"+",98.9878787878788,99,2
581,1262537,"+",97.0610784313726,102,2
582,1263377,"+",98.3174789915966,119,2
583,1263563,"+",95.794,95,2
584,1263703,"+",96.5540517241379,116,2
585,1265938,"+",100,121,2
586,1268294,"+",100,107,2
587,1268516,"+",96.59,88,2
588,1268672,"+",98.233185840708,113,2
589,1273877,"+",93.28,119,2
590,1278268,"+",98.2001801801802,111,2
591,1278644,"+",98.3454545454545,121,2
592,1278920,"+",97.998,100,2
593,1279346,"+",98.0951428571429,105,2
594,1279649,"+",99.0082178217822,101,2
595,1282954,"+",100,128,2
596,1284879,"+",96.8070212765957,94,2
597,1286130,"+",98.3734959349594,123,2
598,1287445,"+",99.3569230769231,156,2
599,1287481,"+",98.5114925373134,134,2
600,1289661,"+",99.0737037037037,108,2
601,1291419,"+",99.1861788617886,123,2
602,1292618,"+",100,121,2
603,1293339,"+",100,79,2
604,1296673,"+",97.0603921568627,102,2
605,1296993,"+",92.190625,64,2
606,1299531,"+",87.6693150684932,73,2
607,1301304,"+",93.750125,80,2
608,1304606,"+",98.1334579439252,107,2
609,1305082,"+",96.87375,96,2
610,1307469,"+",100,112,2
611,1309005,"+",100,118,2
612,1312351,"+",97.3898260869565,115,2
613,1313699,"+",100,122,2
614,1314473,"+",99.2904964539007,141,2
615,1314853,"+",100,144,2
616,1316013,"+",94.735,114,2
617,1319977,"+",98.6095833333333,144,2
618,1320037,"+",96.5848717948718,117,2
619,1320952,"+",99.3081379310345,145,2
620,1325847,"+",100,151,2
621,1327364,"+",98.1818181818182,110,2
622,1327406,"+",96.87125,128,2
623,1328330,"+",97.7615671641791,134,2
624,1328610,"+",99.2270542635659,129,2
625,1331335,"+",97.0179104477612,134,2
626,1333297,"+",99.2267441860465,129,2
627,1337930,"+",100,114,2
628,1340877,"+",96.2959259259259,81,2
629,1340886,"+",99.217890625,128,2
630,1342278,"+",84.5261904761905,84,2
631,1344578,"+",98.0407843137255,102,2
632,1347634,"+",100,86,2
633,1348571,"+",99.0491428571429,105,2
634,1348715,"+",94.9507070707071,99,2
635,1351019,"+",96.251,80,2
636,1351670,"+",97.1965420560748,107,2
637,1351736,"+",97.7279545454546,88,2
638,1352072,"+",98.2313274336283,113,2
639,1352284,"+",100,107,2
640,1353495,"+",97.4159482758621,116,2
641,1353588,"+",99.0108910891089,101,2
642,1354039,"+",100,94,2
643,1354517,"+",100,110,2
644,1356055,"+",96.1565384615384,78,2
645,1358234,"+",99.2639705882353,136,2
646,1358405,"+",95.5360714285714,112,2
647,1359899,"+",94.3163636363636,88,2
648,1364815,"+",94.688407079646,113,2
649,1366382,"+",94.4457777777778,90,2
650,1370030,"+",98.9147826086956,92,2
651,1373512,"+",100,121,2
652,1375762,"+",99.1996,125,2
653,1378702,"+",96.9405102040816,98,2
654,1379074,"+",98.4476744186046,129,2
655,1380975,"+",98.81,84,2
656,1389529,"+",98.0234653465346,101,2
657,1395324,"+",100,114,2
658,1397635,"+",96.55,116,2
659,1400712,"+",99.1893495934959,123,2
660,1400895,"+",100,99,2
661,1400976,"+",99.1927419354839,124,2
662,1401018,"+",100,132,2
663,1401582,"+",100,128,2
664,1402753,"+",98.5068656716418,134,2
665,1402849,"+",100,109,2
666,1402864,"+",100,131,2
667,1403641,"+",98.3984,125,2
668,1404441,"+",100,131,2
669,1405773,"+",97.3662280701754,114,2
670,1410798,"+",99.3114482758621,145,2
671,1413958,"+",98.959375,96,2
672,1415461,"+",100,110,2
673,1415670,"+",100,129,2
674,1416815,"+",97.5812903225807,124,2
675,1420575,"+",95.9183673469388,98,2
676,1424965,"+",92.8540476190476,126,2
677,1426318,"+",89.8536231884058,69,2
678,1427538,"+",91.8185454545455,110,2
679,1427999,"+",100,166,2
680,1429891,"+",100,106,2
681,1431376,"+",98.0790384615385,104,2
682,1434525,"+",88.4630769230769,104,2
683,1436382,"+",100,94,2
684,1437917,"+",96.5537931034483,87,2
685,1440321,"+",99.2555223880597,134,2
686,1440414,"+",100,135,2
687,1440535,"+",100,141,2
688,1440721,"+",99.0390384615385,104,2
689,1440909,"+",96.876484375,128,2
690,1442305,"+",99.2718248175183,137,2
691,1444290,"+",98.4480620155039,129,2
692,1444941,"+",97.7620895522388,134,2
693,1445958,"+",98.6102777777778,144,2
694,1446111,"+",100,152,2
695,1448523,"+",100,136,2
696,1449472,"+",99.2299230769231,130,2
697,1453663,"+",99.3610256410256,156,2
698,1462647,"+",98.4999248120301,133,2
699,1462993,"+",100,148,2
700,1464777,"+",98.640612244898,147,2
701,1471239,"+",99.1873170731707,123,2
702,1472708,"+",98.1636697247706,109,2
703,1475771,"+",99.1795081967213,122,2
704,1480665,"+",100,148,2
705,1482966,"+",98.2124107142857,112,2
706,1483578,"+",99.0453333333333,105,2
707,1485376,"+",100,145,2
708,1486584,"+",99.1,111,2
709,1487125,"+",100,128,2
710,1491833,"+",88.5446875,96,2
711,1492285,"+",95.8742268041237,97,2
712,1492944,"+",99.1393965517241,116,2
713,1494274,"+",95.7635593220339,118,2
714,1497409,"+",81.5225,92,2
715,1498290,"+",95.6921551724138,116,2
716,1498335,"+",99.2125196850394,127,2
717,1502021,"+",100,122,2
718,1502572,"+",95.4005747126437,87,2
719,1503006,"+",99.0179411764706,102,2
720,1503307,"+",96.7386956521739,92,2
721,1513156,"+",100,86,2
722,1518640,"+",95.8341666666667,48,2
729,1529004,"+",98.3316666666667,60,2
730,1533307,"+",97.6190476190476,42,2
731,1535218,"+",100,44,2
732,1537398,"+",100,86,2
733,1537524,"+",97.6171428571429,84,2
734,1540074,"+",95.4563636363636,66,2
735,1543124,"+",100,73,2
736,1546332,"+",99.0834862385321,109,2
737,1552745,"+",98.9235483870968,93,2
738,1553895,"+",98.6295890410959,73,2
739,1554869,"+",96.6663333333333,90,2
740,1556209,"+",97.4670886075949,79,2
741,1557097,"+",97.5015,80,2
742,1558074,"+",100,84,2
743,1566759,"+",100,105,2
744,1569273,"+",97.2933333333333,111,2
745,1571459,"+",95.4137614678899,109,2
746,1574446,"+",99.1364655172414,116,2
747,1574506,"+",100,112,2
748,1575274,"+",100,124,2
749,1577134,"+",100,78,2
750,1579633,"+",98.0205940594059,101,2
751,1580266,"+",99.0543396226415,106,2
752,1582973,"+",99.0319417475728,103,2
753,1584904,"+",94.5027472527473,91,2
754,1586190,"+",98.18,110,2
755,1590597,"+",96.5199130434783,115,2
756,1591242,"+",99.220625,128,2
757,1591631,"+",100,127,2
758,1591860,"+",100,115,2
759,1592526,"+",98.6,143,2
760,1593186,"+",97.69,130,2
761,1596842,"+",84.6171428571429,91,2
762,1598491,"+",100,114,2
763,1600780,"+",99.0375,104,2
764,1603544,"+",100,117,2
765,1605051,"+",98.9968,100,2
766,1606933,"+",81.8945689655173,116,2
767,1608760,"+",99.084128440367,109,2
768,1609734,"+",100,116,2
769,1613097,"+",98.8526436781609,87,2
770,1618896,"+",90.9109090909091,66,2
771,1622406,"+",97.0018,100,2
772,1623297,"+",100,119,2
773,1624335,"+",100,112,2
774,1625053,"+",98.8768539325843,89,2
775,1625600,"+",98.7356962025316,79,2
776,1626377,"+",100,111,2
777,1629081,"+",98.054854368932,103,2
